profile_id,age,annual_income,income_sources,tax_return_filed,late_filing_count,outstanding_dues,previous_default_count,income_growth_rate,deduction_claim_ratio,tax_compliance_score,compliance_risk
TAXP00939,48,1279200,Salary+Investments,1,0,0,0,-0.255,0.8,0.91,Low
TAXP00940,23,1212500,Professional,1,1,0,1,0.087,0.191,0.876,Low
TAXP00941,29,757000,Salary,1,1,0,0,-0.063,0.173,0.93,Low
TAXP00942,57,1230500,Salary,1,1,0,0,-0.078,0.491,0.906,Low
TAXP00943,42,925500,Salary,1,1,0,0,-0.005,0.057,0.975,Low
TAXP00944,48,1542600,Salary,1,1,0,0,0.12,0.254,0.9,Low
TAXP00945,65,800600,Salary+Investments,0,1,0,0,-0.013,0.39,0.752,Low
TAXP00946,40,503100,Business,1,1,0,1,-0.218,0.353,0.844,Low
TAXP00947,38,827800,Salary,1,0,0,0,0.119,0.345,0.979,Low
TAXP00948,57,150000,Salary,1,0,0,0,0.044,0.288,0.98,Low
TAXP00949,23,856300,Salary,1,1,3200,0,-0.05,0.277,0.848,Low
TAXP00950,41,150000,Salary+Investments,1,0,0,0,0.051,0.258,0.977,Low
TAXP00951,59,187900,Salary,1,1,0,0,0.044,0.318,0.873,Low
TAXP00952,31,899900,Salary,1,0,39800,0,0.107,0.336,0.697,Medium
TAXP00953,34,916700,Salary,1,0,0,0,0.06,0.147,0.954,Low
TAXP00954,42,281500,Salary+Business,1,0,19000,0,0.126,0.111,0.85,Low
TAXP00955,24,389300,Business,1,0,0,0,0.092,0.369,0.927,Low
TAXP00956,24,1743700,Professional,1,1,10500,0,0.231,0.274,0.866,Low
TAXP00957,32,458700,Salary,1,0,0,0,0.354,0.338,0.98,Low
TAXP00958,61,3267800,Salary,1,1,0,0,0.098,0.295,0.89,Low
TAXP00959,30,649100,Salary+Investments,0,0,26700,0,0.001,0.227,0.773,Low
TAXP00960,53,872000,Salary,1,0,0,0,-0.13,0.157,0.98,Low
TAXP00961,40,2082100,Salary,1,0,0,0,0.203,0.16,0.98,Low
TAXP00962,55,714300,Business,1,0,0,0,-0.044,0.524,0.925,Low
TAXP00963,35,315900,Salary,1,0,0,2,0.476,0.376,0.826,Low
TAXP00964,60,600600,Salary,1,3,0,0,0.545,0.534,0.796,Low
TAXP00965,37,633500,Salary+Business,0,1,0,1,0.066,0.15,0.779,Low
TAXP00966,56,243300,Business,1,0,0,0,-0.166,0.165,0.905,Low
TAXP00967,58,540700,Salary,1,2,11900,0,0.205,0.22,0.838,Low
TAXP00968,40,380900,Salary,0,1,78000,0,0.436,0.175,0.394,High
TAXP00969,51,1264600,Salary+Business,1,1,45500,0,-0.11,0.239,0.668,Medium
TAXP00970,26,666400,Salary,1,0,0,0,0.404,0.521,0.921,Low
TAXP00971,43,530300,Salary,1,2,0,0,-0.196,0.197,0.854,Low
TAXP00972,37,602200,Professional,1,5,0,0,-0.133,0.219,0.698,Medium
TAXP00973,63,763300,Professional,1,0,0,0,0.149,0.336,0.907,Low
TAXP00974,63,1013400,Multiple,1,1,0,0,0.263,0.316,0.904,Low
TAXP00975,56,316500,Salary,1,0,18100,0,0.089,0.554,0.832,Low
TAXP00976,63,307100,Salary,1,0,0,0,0.172,0.357,0.947,Low
TAXP00977,64,1439900,Business,1,0,0,0,0.277,0.165,0.98,Low
TAXP00978,55,483000,Professional,1,2,0,1,0.295,0.225,0.81,Low
TAXP00979,47,234400,Salary,0,1,0,0,0.0,0.163,0.875,Low
TAXP00980,30,894700,Business,1,1,0,0,-0.038,0.276,0.91,Low
TAXP00981,57,907400,Salary,1,0,0,0,0.269,0.262,0.98,Low
TAXP00982,29,215900,Salary+Investments,1,1,79700,0,0.173,0.148,0.551,Medium
TAXP00983,29,766800,Salary+Investments,1,0,0,0,0.194,0.182,0.94,Low
TAXP00984,60,1103900,Business,1,0,0,1,-0.006,0.098,0.924,Low
TAXP00985,26,851100,Multiple,1,0,4500,0,0.202,0.264,0.939,Low
TAXP00986,27,1024500,Multiple,0,1,41800,1,-0.075,0.493,0.53,Medium
TAXP00987,43,236500,Salary,1,0,13800,0,0.14,0.227,0.928,Low
TAXP00988,47,824900,Salary,1,2,0,0,0.118,0.402,0.879,Low
TAXP00989,23,522700,Professional,1,1,0,0,0.119,0.453,0.877,Low
TAXP00990,38,459100,Salary,1,0,0,0,0.225,0.231,0.972,Low
TAXP00991,31,1216500,Salary,0,1,26900,1,-0.063,0.269,0.687,Medium
TAXP00992,34,1885700,Salary,0,0,15400,0,0.208,0.24,0.807,Low
TAXP00993,29,2365900,Multiple,0,4,0,0,0.103,0.088,0.707,Low
TAXP00994,51,1675100,Salary,1,1,0,0,-0.027,0.175,0.943,Low
TAXP00995,42,600600,Salary+Business,1,1,0,1,-0.111,0.317,0.875,Low
TAXP00996,64,837900,Salary,1,0,0,0,0.402,0.148,0.98,Low
TAXP00997,21,1129000,Salary,1,0,0,0,0.089,0.289,0.944,Low
TAXP00998,55,709300,Salary+Investments,0,1,0,1,0.043,0.257,0.824,Low
TAXP00999,61,714200,Salary,1,2,0,0,-0.083,0.31,0.897,Low
TAXP01000,42,1176200,Salary,1,0,0,0,0.274,0.391,0.917,Low
TAXP01001,52,622800,Salary,1,0,0,0,0.262,0.233,0.942,Low
TAXP01002,40,384500,Professional,0,2,0,0,0.231,0.31,0.751,Low
TAXP01003,47,482300,Salary,1,1,0,0,0.09,0.119,0.903,Low
TAXP01004,61,1026000,Salary,1,0,0,2,0.22,0.104,0.867,Low
TAXP01005,44,651400,Salary,1,0,0,0,-0.032,0.194,0.976,Low
TAXP01006,47,830400,Salary,1,0,0,1,0.135,0.318,0.889,Low
TAXP01007,65,1053000,Salary,0,0,55200,0,0.091,0.267,0.549,Medium
TAXP01008,43,496300,Business,1,1,0,2,0.143,0.176,0.781,Low
TAXP01009,28,1120400,Salary,0,3,0,0,-0.19,0.351,0.703,Low
TAXP01010,51,853800,Salary,1,1,0,0,0.399,0.285,0.909,Low
TAXP01011,52,267200,Professional,1,1,0,2,0.359,0.372,0.788,Low
TAXP01012,31,1836200,Salary+Business,1,1,0,0,-0.084,0.116,0.936,Low
TAXP01013,53,453200,Salary,1,1,11600,0,0.192,0.112,0.806,Low
TAXP01014,23,197400,Salary,1,0,0,0,-0.138,0.113,0.962,Low
TAXP01015,35,306300,Salary,1,1,0,0,0.113,0.111,0.961,Low
TAXP01016,59,311600,Multiple,1,2,2100,1,-0.251,0.198,0.863,Low
TAXP01017,48,674900,Salary,1,3,0,1,0.053,0.098,0.742,Low
TAXP01018,48,533700,Salary,1,1,0,0,0.022,0.411,0.924,Low
TAXP01019,48,510000,Business,1,0,0,0,0.285,0.204,0.951,Low
TAXP01020,28,1015500,Salary,1,0,0,0,0.367,0.489,0.93,Low
TAXP01021,64,830200,Salary,1,0,17300,1,0.371,0.151,0.795,Low
TAXP01022,34,816100,Salary,0,1,4800,1,0.285,0.545,0.706,Low
TAXP01023,56,873100,Professional,1,1,0,1,0.113,0.363,0.856,Low
TAXP01024,65,1012900,Professional,1,1,0,0,0.162,0.097,0.953,Low
TAXP01025,31,150000,Professional,0,2,0,0,0.161,0.351,0.645,Medium
TAXP01026,49,500000,Salary+Business,1,0,0,0,-0.089,0.531,0.968,Low
TAXP01027,22,150000,Salary,1,0,0,0,0.283,0.685,0.895,Low
TAXP01028,49,667100,Salary+Investments,1,1,36600,2,0.21,0.104,0.542,Medium
TAXP01029,40,647800,Salary+Business,1,0,0,0,0.218,0.096,0.939,Low
TAXP01030,24,1379900,Salary+Business,1,0,0,0,-0.265,0.288,0.956,Low
TAXP01031,51,1528500,Salary+Business,1,0,36800,1,0.172,0.341,0.71,Low
TAXP01032,64,752200,Salary,0,0,5400,0,0.261,0.391,0.826,Low
TAXP01033,24,453400,Salary,0,1,0,0,0.098,0.061,0.763,Low
TAXP01034,61,921800,Business,0,1,0,0,0.02,0.093,0.831,Low
TAXP01035,58,444500,Salary,1,1,15300,0,-0.118,0.116,0.858,Low
TAXP01036,45,649300,Business,1,2,0,0,-0.129,0.051,0.925,Low
TAXP01037,61,1322100,Salary,1,1,0,0,0.125,0.055,0.951,Low
TAXP01038,34,435000,Salary,1,0,0,1,0.062,0.177,0.926,Low
TAXP01039,53,1161000,Multiple,1,1,10200,2,0.06,0.268,0.732,Low
TAXP01040,52,1058600,Professional,1,0,0,0,0.345,0.164,0.954,Low
TAXP01041,47,326900,Business,1,3,0,0,-0.101,0.164,0.799,Low
TAXP01042,58,1310500,Salary,1,0,0,1,0.045,0.056,0.98,Low
TAXP01043,60,1074900,Business,1,2,9700,1,0.371,0.447,0.691,Medium
TAXP01044,56,699500,Salary+Investments,1,1,0,0,0.05,0.464,0.951,Low
TAXP01045,47,375400,Professional,1,0,0,0,0.111,0.122,0.954,Low
TAXP01046,64,350100,Professional,1,2,0,0,0.072,0.414,0.97,Low
TAXP01047,46,441400,Business,1,1,0,0,0.213,0.529,0.885,Low
TAXP01048,49,960700,Salary,1,1,900,0,-0.229,0.378,0.864,Low
TAXP01049,29,326700,Professional,1,4,0,1,0.067,0.225,0.766,Low
TAXP01050,35,890700,Multiple,1,1,0,0,0.109,0.639,0.882,Low
TAXP01051,61,265800,Business,0,1,0,1,-0.06,0.355,0.712,Low
TAXP01052,43,561200,Salary,1,0,0,0,0.155,0.445,0.921,Low
TAXP01053,44,703400,Business,1,0,0,0,0.226,0.248,0.98,Low
TAXP01054,57,3780000,Business,1,1,0,0,0.172,0.349,0.873,Low
TAXP01055,35,241100,Multiple,1,0,8700,0,0.385,0.223,0.85,Low
TAXP01056,32,1875900,Salary+Business,1,0,14100,0,0.031,0.195,0.863,Low
TAXP01057,21,724000,Salary,1,4,0,0,0.18,0.028,0.843,Low
TAXP01058,31,873900,Salary,1,0,0,0,0.176,0.135,0.98,Low
TAXP01059,44,707800,Business,1,0,19000,0,0.062,0.113,0.884,Low
TAXP01060,53,895300,Salary,1,0,0,0,0.281,0.149,0.948,Low
TAXP01061,35,581900,Business,1,0,17800,0,0.146,0.361,0.833,Low
TAXP01062,40,1851800,Salary+Business,1,1,0,0,-0.092,0.369,0.939,Low
TAXP01063,30,467900,Professional,1,2,0,1,0.22,0.146,0.831,Low
TAXP01064,57,1468800,Salary,1,5,0,2,0.02,0.463,0.648,Medium
TAXP01065,44,408700,Salary+Business,1,1,0,0,0.048,0.466,0.939,Low
TAXP01066,27,622400,Salary+Business,1,1,19500,0,0.06,0.143,0.821,Low
TAXP01067,48,300400,Salary,1,0,0,0,0.218,0.367,0.953,Low
TAXP01068,36,902000,Professional,1,0,0,2,0.273,0.351,0.833,Low
TAXP01069,59,1839900,Professional,1,0,0,1,0.074,0.161,0.949,Low
TAXP01070,33,614800,Salary+Investments,1,0,0,0,0.065,0.305,0.942,Low
TAXP01071,59,564100,Salary,1,0,11000,1,-0.228,0.438,0.875,Low
TAXP01072,52,291300,Salary,1,0,0,2,-0.014,0.199,0.895,Low
TAXP01073,27,551100,Business,1,2,69800,0,-0.051,0.431,0.539,Medium
TAXP01074,55,206500,Salary,1,0,0,1,0.15,0.49,0.882,Low
TAXP01075,53,336900,Salary,1,1,0,0,0.083,0.565,0.828,Low
TAXP01076,41,765300,Salary+Business,1,0,0,0,-0.045,0.195,0.965,Low
TAXP01077,28,1680200,Salary,1,3,0,0,0.124,0.075,0.849,Low
TAXP01078,42,4912800,Business,1,1,0,0,0.089,0.126,0.942,Low
TAXP01079,48,426100,Multiple,1,1,0,0,-0.306,0.451,0.91,Low
TAXP01080,26,1826900,Business,1,0,0,2,0.277,0.265,0.818,Low
TAXP01081,36,774700,Business,1,2,0,0,0.262,0.492,0.827,Low
TAXP01082,52,582900,Business,1,0,13000,0,0.062,0.437,0.944,Low
TAXP01083,45,887500,Salary,1,0,4600,0,0.156,0.611,0.868,Low
TAXP01084,65,679600,Salary,0,1,0,0,0.048,0.284,0.833,Low
TAXP01085,30,703800,Professional,1,1,14300,1,-0.157,0.506,0.792,Low
TAXP01086,56,484400,Salary,1,0,66000,2,0.446,0.115,0.507,Medium
TAXP01087,40,237500,Salary,0,0,14100,2,0.22,0.104,0.705,Low
TAXP01088,31,213900,Salary,1,1,0,0,0.25,0.392,0.821,Low
TAXP01089,63,1040300,Salary+Investments,1,1,0,1,0.054,0.466,0.862,Low
TAXP01090,49,532600,Salary,1,1,0,0,0.28,0.512,0.863,Low
TAXP01091,45,423200,Salary+Business,1,1,0,0,-0.119,0.237,0.977,Low
TAXP01092,34,654000,Salary,1,1,0,0,0.061,0.42,0.929,Low
TAXP01093,60,1152100,Business,1,4,0,0,0.218,0.215,0.783,Low
TAXP01094,22,740100,Salary,0,1,146100,0,-0.0,0.329,0.02,High
TAXP01095,26,405300,Salary,1,0,28400,0,0.246,0.28,0.848,Low
TAXP01096,29,1571700,Business,1,1,0,1,0.149,0.141,0.838,Low
TAXP01097,50,2026300,Professional,1,2,6200,0,0.134,0.2,0.842,Low
TAXP01098,25,928000,Salary,0,3,30700,0,-0.015,0.123,0.557,Medium
TAXP01099,56,1310300,Business,1,1,0,3,0.165,0.124,0.807,Low
TAXP01100,29,1589500,Business,1,1,32600,0,0.409,0.084,0.786,Low
TAXP01101,51,1466500,Salary,0,0,0,0,0.128,0.349,0.914,Low
TAXP01102,56,1011400,Business,0,0,0,0,0.189,0.496,0.809,Low
TAXP01103,60,1000000,Salary,1,0,7500,0,0.213,0.467,0.88,Low
TAXP01104,34,944900,Business,1,1,0,0,-0.083,0.109,0.95,Low
TAXP01105,24,295000,Salary,0,0,0,0,0.079,0.378,0.893,Low
TAXP01106,55,1076500,Business,1,1,9800,0,0.074,0.406,0.877,Low
TAXP01107,41,244900,Salary,1,0,0,0,-0.24,0.305,0.942,Low
TAXP01108,63,366800,Business,0,1,0,1,0.226,0.345,0.729,Low
TAXP01109,29,1661600,Business,1,3,0,0,-0.049,0.275,0.806,Low
TAXP01110,46,1190300,Salary+Investments,1,1,0,0,0.209,0.224,0.975,Low
TAXP01111,26,1896800,Business,1,1,0,0,-0.021,0.287,0.938,Low
TAXP01112,42,534500,Salary+Business,1,0,0,1,0.427,0.12,0.916,Low
TAXP01113,21,283500,Salary,1,0,19500,0,0.055,0.119,0.862,Low
TAXP01114,54,546700,Salary,1,2,0,1,0.407,0.433,0.81,Low
TAXP01115,48,699500,Salary,1,2,0,0,0.072,0.238,0.86,Low
TAXP01116,25,688000,Business,1,0,0,0,0.091,0.406,0.98,Low
TAXP01117,43,1470300,Professional,1,2,0,0,0.351,0.157,0.862,Low
TAXP01118,40,501100,Salary+Investments,0,2,0,0,-0.047,0.514,0.743,Low
TAXP01119,51,837500,Business,1,1,0,1,0.108,0.483,0.861,Low
TAXP01120,43,319000,Professional,1,3,0,0,0.186,0.345,0.73,Low
TAXP01121,41,898900,Salary,1,0,0,0,0.165,0.225,0.979,Low
TAXP01122,58,651500,Salary,1,0,0,0,0.107,0.023,0.98,Low
TAXP01123,44,378800,Salary+Business,1,1,0,0,0.085,0.064,0.98,Low
TAXP01124,57,548500,Salary,1,0,0,1,0.235,0.418,0.859,Low
TAXP01125,60,569300,Salary,1,1,0,1,0.128,0.371,0.878,Low
TAXP01126,59,535100,Multiple,1,0,0,0,0.255,0.352,0.951,Low
TAXP01127,63,2327000,Multiple,1,0,0,0,0.163,0.428,0.977,Low
TAXP01128,52,605500,Professional,0,1,11100,0,0.204,0.169,0.732,Low
TAXP01129,46,545300,Salary,1,1,0,0,0.281,0.456,0.858,Low
TAXP01130,44,150000,Salary+Investments,1,0,0,0,0.05,0.303,0.921,Low
TAXP01131,30,341400,Salary,1,1,0,2,0.277,0.549,0.786,Low
TAXP01132,58,537800,Business,1,1,0,0,0.075,0.279,0.942,Low
TAXP01133,52,396700,Salary,0,0,0,0,-0.124,0.35,0.861,Low
TAXP01134,60,1757800,Salary+Investments,1,1,0,0,0.047,0.187,0.931,Low
TAXP01135,52,577200,Salary+Investments,1,1,0,0,-0.016,0.117,0.932,Low
TAXP01136,42,1643600,Professional,1,1,0,1,0.16,0.205,0.854,Low
TAXP01137,34,679500,Salary,1,1,0,1,0.054,0.158,0.914,Low
TAXP01138,65,667700,Business,1,0,79500,0,0.12,0.111,0.567,Medium
TAXP01139,54,609700,Salary,1,2,46100,2,0.262,0.373,0.551,Medium
TAXP01140,60,651800,Salary+Investments,1,2,0,0,0.338,0.209,0.87,Low
TAXP01141,47,2240600,Salary,0,1,25500,0,0.147,0.465,0.598,Medium
TAXP01142,43,150000,Salary,1,1,0,0,0.274,0.482,0.897,Low
TAXP01143,22,153800,Salary+Business,0,2,0,1,0.072,0.071,0.756,Low
TAXP01144,24,439600,Business,1,1,0,1,-0.15,0.491,0.833,Low
TAXP01145,52,656800,Salary+Investments,1,2,6100,0,-0.089,0.499,0.789,Low
TAXP01146,31,1068300,Salary,1,1,0,0,0.069,0.234,0.953,Low
TAXP01147,24,913800,Salary+Business,0,2,6800,1,0.227,0.285,0.707,Low
TAXP01148,55,492900,Salary,1,1,0,0,0.069,0.333,0.944,Low
TAXP01149,48,1353800,Salary,1,0,0,1,0.29,0.257,0.922,Low
TAXP01150,26,1364700,Business,1,0,0,1,0.393,0.027,0.871,Low
TAXP01151,43,742100,Salary,1,0,0,1,-0.042,0.257,0.971,Low
TAXP01152,42,1300000,Business,1,0,0,0,0.44,0.088,0.98,Low
TAXP01153,21,791000,Salary,0,1,0,0,-0.162,0.441,0.77,Low
TAXP01154,48,433900,Salary,1,0,0,0,0.396,0.363,0.965,Low
TAXP01155,38,1074300,Salary+Business,1,2,0,0,0.095,0.444,0.891,Low
TAXP01156,60,703900,Salary,1,1,2300,0,0.063,0.311,0.884,Low
TAXP01157,26,650600,Professional,1,1,0,0,0.099,0.393,0.905,Low
TAXP01158,59,1877100,Salary+Business,1,0,0,0,-0.028,0.228,0.94,Low
TAXP01159,21,150000,Salary,1,0,0,1,0.34,0.191,0.885,Low
TAXP01160,55,234200,Salary+Business,1,1,0,0,-0.011,0.157,0.979,Low
TAXP01161,56,276500,Salary,1,1,0,1,0.01,0.145,0.947,Low
TAXP01162,39,500400,Salary,1,0,0,1,-0.121,0.111,0.892,Low
TAXP01163,33,541100,Salary,1,1,0,0,-0.017,0.493,0.907,Low
TAXP01164,27,219600,Salary+Investments,1,0,0,1,-0.012,0.166,0.827,Low
TAXP01165,36,319800,Business,1,2,0,0,-0.023,0.169,0.855,Low
TAXP01166,51,349700,Business,0,0,0,0,0.072,0.238,0.804,Low
TAXP01167,53,3813600,Multiple,1,0,0,0,-0.078,0.098,0.98,Low
TAXP01168,29,2378500,Salary,1,2,0,0,0.355,0.63,0.825,Low
TAXP01169,21,483200,Salary+Investments,1,1,0,1,0.076,0.265,0.844,Low
TAXP01170,46,500300,Salary+Business,1,0,0,0,0.16,0.51,0.942,Low
TAXP01171,47,284200,Multiple,0,2,0,0,0.238,0.457,0.725,Low
TAXP01172,65,164500,Salary+Investments,1,1,0,0,0.424,0.173,0.902,Low
TAXP01173,55,597500,Multiple,1,2,0,0,0.246,0.104,0.907,Low
TAXP01174,45,316900,Salary,1,1,6000,0,0.06,0.229,0.927,Low
TAXP01175,47,611500,Salary+Business,1,1,37500,0,-0.072,0.412,0.721,Low
TAXP01176,50,205400,Salary+Business,1,0,16200,0,0.154,0.05,0.917,Low
TAXP01177,41,375500,Professional,1,0,8300,2,0.27,0.19,0.853,Low
TAXP01178,51,723400,Salary,0,3,36000,0,0.123,0.309,0.52,Medium
TAXP01179,29,846100,Multiple,1,1,0,0,0.11,0.429,0.95,Low
TAXP01180,58,877900,Salary,1,0,0,0,0.134,0.15,0.95,Low
TAXP01181,59,251200,Business,0,0,12700,1,-0.199,0.376,0.694,Medium
TAXP01182,40,1202700,Business,1,1,0,0,0.123,0.204,0.902,Low
TAXP01183,41,365300,Salary,1,0,0,1,0.217,0.356,0.931,Low
TAXP01184,43,1025200,Salary+Business,1,0,14100,0,0.093,0.025,0.953,Low
TAXP01185,57,645000,Salary,1,1,0,0,0.28,0.402,0.85,Low
TAXP01186,28,241300,Professional,1,1,0,0,0.285,0.186,0.924,Low
TAXP01187,36,517700,Salary+Investments,1,0,0,0,0.019,0.351,0.944,Low
TAXP01188,48,845600,Salary,1,0,0,0,0.171,0.418,0.98,Low
TAXP01189,52,1010600,Salary+Business,1,1,0,0,0.107,0.183,0.939,Low
TAXP01190,34,587300,Salary,1,0,0,0,-0.225,0.206,0.924,Low
TAXP01191,26,1958300,Salary+Investments,1,1,0,0,0.07,0.203,0.924,Low
TAXP01192,43,1342600,Multiple,0,1,0,0,-0.065,0.278,0.81,Low
TAXP01193,49,540300,Salary,0,1,0,1,0.121,0.59,0.697,Medium
TAXP01194,55,1115500,Professional,1,1,0,1,0.209,0.244,0.855,Low
TAXP01195,21,2615700,Business,1,2,0,1,0.065,0.379,0.742,Low
TAXP01196,21,2666500,Business,1,0,0,0,-0.044,0.295,0.966,Low
TAXP01197,38,268500,Salary+Business,0,2,0,0,0.137,0.12,0.744,Low
TAXP01198,46,333600,Business,1,1,0,0,0.491,0.08,0.921,Low
TAXP01199,21,1893400,Professional,1,3,17800,0,-0.248,0.494,0.739,Low
TAXP01200,28,303400,Salary,1,1,0,0,0.137,0.659,0.864,Low
TAXP01201,39,250800,Salary,1,0,0,0,0.013,0.097,0.98,Low
TAXP01202,33,458000,Salary+Investments,1,2,0,0,0.032,0.176,0.853,Low
TAXP01203,52,879700,Salary,0,1,0,0,0.083,0.214,0.853,Low
TAXP01204,22,603800,Business,1,0,0,0,0.045,0.168,0.98,Low
TAXP01205,60,406900,Salary,0,1,37900,0,0.196,0.463,0.614,Medium
TAXP01206,28,400000,Salary+Investments,1,1,0,0,0.061,0.252,0.903,Low
TAXP01207,40,389200,Business,1,1,29600,0,-0.246,0.225,0.803,Low
TAXP01208,65,345100,Salary,1,1,0,1,0.305,0.121,0.855,Low
TAXP01209,50,3360200,Salary,1,1,6800,0,0.281,0.019,0.923,Low
TAXP01210,65,805300,Business,1,0,83300,0,0.003,0.569,0.517,Medium
TAXP01211,21,1230800,Multiple,1,1,0,0,0.108,0.163,0.949,Low
TAXP01212,53,457100,Business,0,2,0,0,0.295,0.53,0.635,Medium
TAXP01213,24,568500,Business,1,0,0,1,0.265,0.15,0.977,Low
TAXP01214,48,388900,Salary+Business,1,1,0,0,0.317,0.106,0.907,Low
TAXP01215,35,150000,Salary,1,1,0,0,0.16,0.349,0.909,Low
TAXP01216,55,241000,Business,0,2,0,0,0.223,0.242,0.776,Low
TAXP01217,26,176500,Salary,1,0,8700,1,0.325,0.29,0.843,Low
TAXP01218,61,150000,Salary,1,1,0,1,0.045,0.058,0.928,Low
TAXP01219,42,274900,Salary+Business,1,2,15000,0,0.17,0.348,0.822,Low
TAXP01220,44,1687400,Salary+Investments,1,1,0,0,-0.243,0.261,0.953,Low
TAXP01221,46,629500,Salary+Investments,1,1,0,0,-0.153,0.47,0.894,Low
TAXP01222,22,1646100,Salary+Investments,1,1,18400,0,0.18,0.58,0.811,Low
TAXP01223,34,873800,Business,1,0,0,0,0.204,0.526,0.965,Low
TAXP01224,52,1141900,Salary,1,0,46300,0,0.038,0.433,0.703,Low
TAXP01225,64,339800,Professional,1,0,18400,0,0.003,0.121,0.855,Low
TAXP01226,65,947900,Multiple,0,1,0,0,0.043,0.057,0.875,Low
TAXP01227,45,1098400,Salary+Business,1,0,0,0,0.131,0.289,0.952,Low
TAXP01228,32,429100,Business,1,0,0,0,-0.27,0.235,0.942,Low
TAXP01229,42,972500,Professional,1,0,0,0,0.174,0.351,0.91,Low
TAXP01230,41,977100,Salary+Business,1,0,12000,1,0.105,0.334,0.858,Low
TAXP01231,38,437600,Salary+Investments,1,0,107600,0,0.14,0.431,0.339,High
TAXP01232,37,289600,Salary+Business,1,1,0,0,0.08,0.469,0.881,Low
TAXP01233,60,277100,Business,1,1,0,0,-0.121,0.238,0.98,Low
TAXP01234,38,691800,Salary,0,2,43100,2,-0.076,0.357,0.413,High
TAXP01235,22,822600,Business,1,0,0,0,0.344,0.13,0.967,Low
TAXP01236,53,367400,Salary,1,0,0,0,-0.003,0.154,0.95,Low
TAXP01237,50,662600,Multiple,1,1,13400,1,0.229,0.273,0.752,Low
TAXP01238,38,980200,Business,1,1,6600,0,-0.073,0.456,0.903,Low
TAXP01239,49,1014400,Business,1,0,0,0,0.098,0.172,0.945,Low
TAXP01240,63,1986900,Salary,0,0,0,0,0.029,0.584,0.824,Low
TAXP01241,62,1630100,Professional,1,0,0,1,0.054,0.326,0.939,Low
TAXP01242,56,316100,Business,1,0,0,1,0.046,0.225,0.874,Low
TAXP01243,47,2184500,Salary,1,0,0,0,0.331,0.241,0.973,Low
TAXP01244,22,443500,Salary+Investments,1,1,0,1,0.408,0.127,0.865,Low
TAXP01245,44,1379200,Salary,1,2,17900,1,0.138,0.242,0.734,Low
TAXP01246,57,682600,Business,1,1,0,0,0.034,0.129,0.92,Low
TAXP01247,59,483100,Salary,1,2,0,0,-0.113,0.478,0.806,Low
TAXP01248,55,176900,Business,1,0,0,1,-0.124,0.062,0.88,Low
TAXP01249,65,574500,Salary+Business,1,1,0,0,0.332,0.503,0.851,Low
TAXP01250,44,211500,Salary+Investments,1,1,0,1,-0.135,0.774,0.877,Low
TAXP01251,25,1304300,Salary,1,0,0,1,0.03,0.172,0.88,Low
TAXP01252,43,1937300,Multiple,1,2,3500,1,0.125,0.22,0.788,Low
TAXP01253,35,366200,Salary+Business,1,2,0,0,-0.316,0.143,0.835,Low
TAXP01254,58,807900,Salary,1,1,0,1,-0.1,0.34,0.874,Low
TAXP01255,55,385600,Salary,1,0,8100,0,-0.114,0.17,0.935,Low
TAXP01256,40,413400,Salary,1,1,10500,1,-0.007,0.152,0.8,Low
TAXP01257,38,1135300,Salary+Investments,1,1,0,1,0.141,0.392,0.785,Low
TAXP01258,28,632200,Salary,1,0,0,0,0.264,0.291,0.948,Low
TAXP01259,22,2274500,Business,0,0,0,0,-0.006,0.096,0.914,Low
TAXP01260,35,459300,Salary+Business,1,2,0,0,0.026,0.107,0.874,Low
TAXP01261,31,1334700,Salary+Investments,1,0,25000,1,0.081,0.404,0.782,Low
TAXP01262,32,697200,Professional,1,0,0,0,-0.029,0.126,0.98,Low
TAXP01263,65,1152800,Salary+Business,1,0,0,1,0.167,0.337,0.911,Low
TAXP01264,51,471100,Salary,1,1,0,0,0.172,0.364,0.89,Low
TAXP01265,45,627200,Salary+Investments,1,0,0,1,-0.335,0.572,0.836,Low
TAXP01266,29,598100,Salary,1,0,0,0,0.202,0.202,0.98,Low
TAXP01267,58,356000,Salary,1,1,0,0,0.12,0.667,0.895,Low
TAXP01268,50,1047000,Multiple,1,0,4600,0,0.141,0.405,0.931,Low
TAXP01269,44,1038100,Salary,1,1,6700,0,0.289,0.166,0.823,Low
TAXP01270,41,996600,Salary,0,0,19600,0,-0.186,0.103,0.71,Low
TAXP01271,45,1965700,Professional,0,0,0,0,-0.101,0.267,0.827,Low
TAXP01272,58,1845500,Salary,1,1,0,0,0.089,0.475,0.882,Low
TAXP01273,53,496200,Salary,0,1,13300,0,-0.271,0.231,0.736,Low
TAXP01274,42,850300,Professional,0,1,0,0,0.066,0.564,0.746,Low
TAXP01275,51,414900,Salary+Business,1,0,0,1,0.235,0.049,0.966,Low
TAXP01276,62,661000,Salary+Business,1,0,5200,1,0.163,0.134,0.883,Low
TAXP01277,35,422100,Salary,1,0,7700,0,0.113,0.363,0.98,Low
TAXP01278,61,2086900,Business,1,1,16800,0,0.063,0.215,0.899,Low
TAXP01279,48,844600,Salary+Business,1,1,0,0,0.032,0.268,0.98,Low
TAXP01280,29,555600,Salary,1,0,0,0,0.022,0.262,0.907,Low
TAXP01281,64,1535100,Salary,1,0,0,0,0.137,0.141,0.98,Low
