transaction_id,profile_id,transaction_amount,transaction_type,merchant_category,payment_method,city,transaction_frequency,location_risk_score,device_risk_score,anomaly_score,is_anomaly
TXN004503,TAXP00245,734.09,bill_payment,retail,cash,Hyderabad,2,0.133,0.334,0.188,0
TXN004504,TAXP02791,385.79,bill_payment,retail,wallet,Hyderabad,1,0.274,0.322,0.094,0
TXN004505,TAXP01234,389.42,bill_payment,groceries,UPI,Hyderabad,2,0.055,0.122,0.008,0
TXN004506,TAXP02190,1501.51,transfer,financial_services,card,Chennai,4,0.265,0.518,0.273,1
TXN004507,TAXP00429,50.0,bill_payment,online_services,UPI,Mumbai,2,0.071,0.152,0.0,0
TXN004508,TAXP00802,104.27,transfer,education,card,Chennai,7,0.251,0.204,0.143,0
TXN004509,TAXP03098,50.0,cash_withdrawal,online_services,UPI,Hyderabad,8,0.276,0.196,0.068,0
TXN004510,TAXP04973,501.65,cash_withdrawal,groceries,card,Kolkata,5,0.02,0.296,0.022,0
TXN004511,TAXP04897,123.79,transfer,education,UPI,Delhi,2,0.101,0.299,0.117,0
TXN004512,TAXP00552,93.37,purchase,retail,UPI,Ahmedabad,3,0.16,0.636,0.164,0
TXN004513,TAXP02902,50.0,deposit,electronics,cash,Delhi,4,0.229,0.055,0.102,0
TXN004514,TAXP04521,187.09,transfer,financial_services,UPI,Pune,5,0.305,0.078,0.175,0
TXN004515,TAXP01970,239.57,bill_payment,utilities,UPI,Mumbai,5,0.424,0.266,0.018,0
TXN004516,TAXP04035,111.06,bill_payment,healthcare,card,Hyderabad,3,0.251,0.078,0.0,0
TXN004517,TAXP00695,50.0,purchase,groceries,bank_transfer,Pune,2,0.273,0.035,0.114,0
TXN004518,TAXP04928,521.64,purchase,education,wallet,Mumbai,4,0.152,0.115,0.0,0
TXN004519,TAXP03234,52.9,transfer,travel,UPI,Kolkata,5,0.367,0.147,0.027,0
TXN004520,TAXP03104,2425.45,cash_withdrawal,retail,UPI,Hyderabad,3,0.267,0.19,0.144,0
TXN004521,TAXP02906,134.56,cash_withdrawal,electronics,cash,Kolkata,2,0.307,0.227,0.12,0
TXN004522,TAXP04517,112.65,merchant_payment,education,UPI,Ahmedabad,7,0.608,0.086,0.121,0
TXN004523,TAXP01515,56.16,bill_payment,healthcare,bank_transfer,Hyderabad,6,0.297,0.422,0.148,0
TXN004524,TAXP01054,568.64,merchant_payment,financial_services,cash,Hyderabad,5,0.54,0.023,0.079,0
TXN004525,TAXP02660,135.51,purchase,healthcare,UPI,Bengaluru,3,0.175,0.333,0.101,0
TXN004526,TAXP04919,191.51,cash_withdrawal,education,bank_transfer,Delhi,4,0.099,0.077,0.054,0
TXN004527,TAXP04905,2893.66,purchase,online_services,cash,Kolkata,1,0.43,0.087,0.208,0
TXN004528,TAXP00437,91.71,bill_payment,groceries,card,Delhi,8,0.161,0.181,0.184,0
TXN004529,TAXP00233,1575.68,purchase,groceries,cash,Chennai,4,0.298,0.129,0.323,1
TXN004530,TAXP04047,221.15,merchant_payment,restaurants,bank_transfer,Delhi,2,0.106,0.074,0.078,0
TXN004531,TAXP03234,500.28,purchase,education,bank_transfer,Mumbai,3,0.236,0.359,0.101,0
TXN004532,TAXP03141,71.43,purchase,education,card,Hyderabad,1,0.154,0.097,0.016,0
TXN004533,TAXP03522,129.69,cash_withdrawal,electronics,bank_transfer,Ahmedabad,2,0.079,0.077,0.0,0
TXN004534,TAXP00157,217.79,cash_withdrawal,travel,UPI,Chennai,2,0.156,0.377,0.136,0
TXN004535,TAXP02035,393.0,purchase,utilities,UPI,Chennai,4,0.123,0.153,0.142,0
TXN004536,TAXP02378,50.0,cash_withdrawal,education,cash,Chennai,2,0.187,0.09,0.016,0
TXN004537,TAXP03315,241.0,transfer,retail,bank_transfer,Chennai,4,0.075,0.226,0.181,0
TXN004538,TAXP02903,213.36,purchase,groceries,cash,Kolkata,5,0.163,0.102,0.155,0
TXN004539,TAXP03786,183.46,cash_withdrawal,financial_services,card,Delhi,3,0.128,0.073,0.119,0
TXN004540,TAXP02707,66.41,purchase,electronics,card,Hyderabad,1,0.189,0.163,0.0,0
TXN004541,TAXP03176,50.0,transfer,electronics,card,Chennai,5,0.088,0.008,0.066,0
TXN004542,TAXP00017,708.5,purchase,restaurants,bank_transfer,Mumbai,2,0.23,0.229,0.079,0
TXN004543,TAXP03202,712.74,bill_payment,restaurants,UPI,Chennai,4,0.073,0.293,0.04,0
TXN004544,TAXP02544,431.65,deposit,online_services,UPI,Delhi,4,0.314,0.164,0.148,0
TXN004545,TAXP02051,2439.16,merchant_payment,travel,UPI,Delhi,4,0.102,0.459,0.115,0
TXN004546,TAXP03506,1557.39,bill_payment,financial_services,bank_transfer,Ahmedabad,2,0.074,0.023,0.049,0
TXN004547,TAXP00008,50.0,purchase,education,card,Bengaluru,5,0.401,0.204,0.163,0
TXN004548,TAXP03862,1691.41,purchase,retail,wallet,Chennai,4,0.372,0.226,0.138,0
TXN004549,TAXP04450,67.42,transfer,retail,UPI,Mumbai,3,0.075,0.004,0.063,0
TXN004550,TAXP00543,88.07,merchant_payment,restaurants,UPI,Delhi,4,0.078,0.099,0.009,0
TXN004551,TAXP01748,490.8,purchase,retail,UPI,Kolkata,1,0.141,0.193,0.089,0
TXN004552,TAXP04368,85.93,deposit,online_services,card,Hyderabad,7,0.305,0.275,0.133,0
TXN004553,TAXP00296,148.5,purchase,financial_services,UPI,Pune,5,0.173,0.167,0.048,0
TXN004554,TAXP01119,841.46,purchase,online_services,bank_transfer,Mumbai,5,0.283,0.028,0.151,0
TXN004555,TAXP04039,50.0,deposit,financial_services,bank_transfer,Hyderabad,7,0.323,0.038,0.019,0
TXN004556,TAXP01758,252.62,purchase,groceries,UPI,Kolkata,3,0.143,0.28,0.083,0
TXN004557,TAXP01677,131.63,cash_withdrawal,groceries,card,Chennai,5,0.073,0.225,0.143,0
TXN004558,TAXP01967,994.25,cash_withdrawal,utilities,UPI,Mumbai,4,0.392,0.196,0.113,0
TXN004559,TAXP04828,94.53,purchase,groceries,bank_transfer,Ahmedabad,2,0.243,0.124,0.135,0
TXN004560,TAXP00278,50.0,transfer,utilities,UPI,Mumbai,5,0.246,0.287,0.012,0
TXN004561,TAXP01799,93.25,transfer,online_services,UPI,Chennai,4,0.227,0.146,0.156,0
TXN004562,TAXP01777,69.33,bill_payment,utilities,bank_transfer,Ahmedabad,4,0.1,0.206,0.031,0
TXN004563,TAXP04881,50.0,bill_payment,restaurants,card,Mumbai,3,0.082,0.26,0.163,0
TXN004564,TAXP01415,330.9,purchase,restaurants,UPI,Pune,4,0.36,0.142,0.151,0
TXN004565,TAXP04724,50.0,merchant_payment,retail,card,Mumbai,3,0.363,0.241,0.209,0
TXN004566,TAXP01998,719.04,merchant_payment,education,UPI,Hyderabad,5,0.152,0.335,0.0,0
TXN004567,TAXP02256,208.92,merchant_payment,restaurants,cash,Ahmedabad,4,0.344,0.348,0.192,0
TXN004568,TAXP03415,853.31,purchase,groceries,bank_transfer,Hyderabad,2,0.13,0.114,0.0,0
TXN004569,TAXP02381,84.89,purchase,groceries,cash,Mumbai,1,0.381,0.087,0.087,0
TXN004570,TAXP01070,135.3,purchase,financial_services,UPI,Mumbai,1,0.164,0.241,0.003,0
TXN004571,TAXP04212,466.83,bill_payment,groceries,UPI,Chennai,4,0.094,0.199,0.08,0
TXN004572,TAXP01381,225.61,transfer,healthcare,UPI,Bengaluru,4,0.306,0.266,0.045,0
TXN004573,TAXP04305,4221.35,merchant_payment,online_services,bank_transfer,Ahmedabad,2,0.176,0.141,0.08,0
TXN004574,TAXP04833,100.32,bill_payment,healthcare,card,Ahmedabad,6,0.199,0.102,0.049,0
TXN004575,TAXP02657,1621.92,purchase,online_services,card,Ahmedabad,3,0.241,0.288,0.133,0
TXN004576,TAXP00861,362.58,bill_payment,retail,bank_transfer,Chennai,3,0.41,0.249,0.274,1
TXN004577,TAXP00799,382.31,purchase,education,UPI,Ahmedabad,3,0.24,0.088,0.066,0
TXN004578,TAXP04280,588.38,bill_payment,electronics,card,Hyderabad,6,0.161,0.133,0.157,0
TXN004579,TAXP01389,448.8,transfer,education,bank_transfer,Bengaluru,5,0.199,0.173,0.123,0
TXN004580,TAXP02450,282.99,purchase,utilities,bank_transfer,Chennai,3,0.251,0.352,0.149,0
TXN004581,TAXP03943,59.66,bill_payment,financial_services,UPI,Kolkata,2,0.244,0.263,0.0,0
TXN004582,TAXP00269,66.41,purchase,groceries,UPI,Ahmedabad,5,0.193,0.115,0.045,0
TXN004583,TAXP02160,135.54,transfer,financial_services,UPI,Delhi,5,0.007,0.142,0.097,0
TXN004584,TAXP03373,174.53,merchant_payment,utilities,UPI,Delhi,8,0.341,0.035,0.182,0
TXN004585,TAXP02874,50.0,cash_withdrawal,retail,bank_transfer,Bengaluru,4,0.533,0.222,0.132,0
TXN004586,TAXP02018,93.27,bill_payment,groceries,UPI,Bengaluru,4,0.095,0.202,0.0,0
TXN004587,TAXP01740,65.0,merchant_payment,groceries,card,Bengaluru,6,0.269,0.195,0.042,0
TXN004588,TAXP00381,166.7,purchase,retail,bank_transfer,Kolkata,5,0.178,0.375,0.132,0
TXN004589,TAXP03033,50.0,purchase,online_services,bank_transfer,Ahmedabad,6,0.084,0.195,0.171,0
TXN004590,TAXP00279,1141.98,purchase,financial_services,card,Ahmedabad,6,0.068,0.25,0.087,0
TXN004591,TAXP02590,6134.13,purchase,travel,UPI,Kolkata,5,0.346,0.221,0.034,0
TXN004592,TAXP00656,578.27,merchant_payment,utilities,card,Chennai,2,0.397,0.47,0.301,1
TXN004593,TAXP00202,140.1,bill_payment,groceries,cash,Bengaluru,5,0.193,0.092,0.0,0
TXN004594,TAXP02417,756.08,transfer,utilities,bank_transfer,Delhi,3,0.135,0.216,0.143,0
TXN004595,TAXP01503,5367.25,merchant_payment,groceries,bank_transfer,Chennai,2,0.183,0.206,0.191,0
TXN004596,TAXP02423,529.55,bill_payment,retail,UPI,Mumbai,7,0.147,0.144,0.035,0
TXN004597,TAXP00805,915.67,purchase,groceries,wallet,Chennai,4,0.042,0.437,0.16,0
TXN004598,TAXP04826,99.47,purchase,travel,cash,Chennai,8,0.243,0.022,0.215,0
TXN004599,TAXP00063,706.38,merchant_payment,groceries,wallet,Chennai,5,0.233,0.259,0.141,0
TXN004600,TAXP00667,182.26,purchase,retail,bank_transfer,Mumbai,3,0.131,0.171,0.048,0
TXN004601,TAXP03577,391.92,transfer,retail,wallet,Bengaluru,8,0.175,0.172,0.255,1
TXN004602,TAXP04653,191.21,merchant_payment,electronics,card,Pune,7,0.263,0.043,0.126,0
TXN004603,TAXP00225,690.26,deposit,financial_services,UPI,Ahmedabad,6,0.134,0.281,0.177,0
TXN004604,TAXP00109,1080.36,cash_withdrawal,restaurants,UPI,Chennai,3,0.167,0.166,0.0,0
TXN004605,TAXP02794,564.81,merchant_payment,utilities,cash,Chennai,2,0.39,0.211,0.146,0
TXN004606,TAXP02190,553.74,purchase,online_services,bank_transfer,Chennai,6,0.249,0.14,0.064,0
TXN004607,TAXP01007,1850.38,transfer,restaurants,card,Bengaluru,7,0.172,0.105,0.11,0
TXN004608,TAXP00648,89.25,merchant_payment,groceries,card,Bengaluru,2,0.096,0.103,0.058,0
TXN004609,TAXP04289,119.52,deposit,electronics,UPI,Hyderabad,3,0.092,0.211,0.024,0
TXN004610,TAXP00601,90.68,transfer,education,UPI,Kolkata,3,0.126,0.201,0.179,0
TXN004611,TAXP03499,140.71,transfer,healthcare,UPI,Ahmedabad,3,0.376,0.453,0.228,0
TXN004612,TAXP04149,233.45,cash_withdrawal,travel,bank_transfer,Delhi,4,0.356,0.261,0.187,0
TXN004613,TAXP00109,701.51,merchant_payment,retail,bank_transfer,Bengaluru,2,0.05,0.07,0.037,0
TXN004614,TAXP03739,695.17,cash_withdrawal,restaurants,UPI,Ahmedabad,2,0.252,0.258,0.184,0
TXN004615,TAXP03446,290.29,purchase,online_services,card,Pune,3,0.088,0.295,0.075,0
TXN004616,TAXP02708,59.79,merchant_payment,online_services,UPI,Mumbai,6,0.449,0.148,0.154,0
TXN004617,TAXP00380,315.38,merchant_payment,healthcare,UPI,Bengaluru,4,0.236,0.109,0.095,0
TXN004618,TAXP04540,12458.35,merchant_payment,retail,bank_transfer,Chennai,4,0.136,0.143,0.162,0
TXN004619,TAXP04544,147.29,merchant_payment,utilities,wallet,Chennai,7,0.009,0.091,0.001,0
TXN004620,TAXP01690,301.67,transfer,groceries,UPI,Mumbai,7,0.126,0.154,0.031,0
TXN004621,TAXP01662,891.86,purchase,electronics,UPI,Chennai,1,0.184,0.283,0.081,0
TXN004622,TAXP02729,3492.35,merchant_payment,groceries,UPI,Chennai,4,0.371,0.276,0.183,0
TXN004623,TAXP04398,76.8,deposit,retail,card,Kolkata,5,0.178,0.099,0.173,0
TXN004624,TAXP04668,280.53,transfer,education,bank_transfer,Bengaluru,4,0.301,0.093,0.217,0
TXN004625,TAXP01228,82.64,transfer,groceries,bank_transfer,Pune,5,0.298,0.098,0.252,1
TXN004626,TAXP02782,160.35,purchase,healthcare,bank_transfer,Ahmedabad,3,0.303,0.487,0.194,0
TXN004627,TAXP01788,342.13,merchant_payment,online_services,UPI,Mumbai,5,0.2,0.159,0.008,0
TXN004628,TAXP01076,68.93,bill_payment,restaurants,UPI,Hyderabad,5,0.291,0.086,0.062,0
TXN004629,TAXP00010,668.27,merchant_payment,restaurants,card,Mumbai,2,0.309,0.124,0.148,0
TXN004630,TAXP01443,3898.51,cash_withdrawal,financial_services,bank_transfer,Ahmedabad,2,0.123,0.413,0.252,1
TXN004631,TAXP01625,1632.74,bill_payment,retail,UPI,Kolkata,4,0.033,0.09,0.022,0
TXN004632,TAXP03298,1134.05,bill_payment,groceries,cash,Pune,9,0.075,0.218,0.211,0
TXN004633,TAXP03240,164.45,purchase,financial_services,UPI,Ahmedabad,7,0.247,0.115,0.136,0
TXN004634,TAXP04879,7590.83,purchase,education,bank_transfer,Delhi,4,0.095,0.329,0.121,0
TXN004635,TAXP03333,283.39,merchant_payment,electronics,bank_transfer,Delhi,6,0.268,0.545,0.256,1
TXN004636,TAXP00748,60.01,deposit,utilities,card,Ahmedabad,3,0.2,0.033,0.03,0
TXN004637,TAXP02946,190.85,cash_withdrawal,electronics,bank_transfer,Delhi,2,0.206,0.209,0.126,0
TXN004638,TAXP00812,50.0,merchant_payment,education,UPI,Mumbai,6,0.184,0.223,0.043,0
TXN004639,TAXP00755,650.76,bill_payment,groceries,card,Hyderabad,5,0.091,0.113,0.151,0
TXN004640,TAXP04638,71.0,purchase,online_services,cash,Chennai,1,0.079,0.037,0.046,0
TXN004641,TAXP00885,50.0,cash_withdrawal,electronics,card,Chennai,4,0.216,0.269,0.149,0
TXN004642,TAXP02365,173.0,bill_payment,groceries,card,Bengaluru,1,0.38,0.094,0.184,0
TXN004643,TAXP04537,389.66,purchase,online_services,UPI,Chennai,6,0.352,0.092,0.077,0
TXN004644,TAXP03044,3108.67,purchase,groceries,bank_transfer,Pune,3,0.026,0.499,0.121,0
TXN004645,TAXP02269,73.48,deposit,retail,UPI,Ahmedabad,2,0.031,0.288,0.022,0
TXN004646,TAXP01656,135.31,purchase,online_services,card,Bengaluru,4,0.232,0.351,0.126,0
TXN004647,TAXP00611,52.32,transfer,utilities,bank_transfer,Delhi,1,0.088,0.185,0.174,0
TXN004648,TAXP04314,286.8,merchant_payment,electronics,wallet,Ahmedabad,5,0.459,0.043,0.076,0
TXN004649,TAXP04031,50.0,purchase,retail,UPI,Mumbai,2,0.145,0.181,0.142,0
TXN004650,TAXP04595,314.91,transfer,healthcare,UPI,Hyderabad,2,0.349,0.211,0.167,0
TXN004651,TAXP03892,72.12,merchant_payment,retail,UPI,Mumbai,5,0.389,0.173,0.08,0
TXN004652,TAXP02432,235.63,merchant_payment,travel,UPI,Chennai,4,0.241,0.298,0.212,0
TXN004653,TAXP00956,273.8,cash_withdrawal,financial_services,cash,Chennai,1,0.56,0.234,0.276,1
TXN004654,TAXP04426,861.21,merchant_payment,groceries,UPI,Chennai,3,0.127,0.193,0.133,0
TXN004655,TAXP01006,364.98,purchase,electronics,card,Bengaluru,5,0.354,0.451,0.17,0
TXN004656,TAXP02310,1417.12,cash_withdrawal,restaurants,UPI,Mumbai,5,0.066,0.119,0.059,0
TXN004657,TAXP03315,362.55,purchase,education,card,Bengaluru,3,0.094,0.113,0.008,0
TXN004658,TAXP04267,220.41,merchant_payment,retail,bank_transfer,Bengaluru,2,0.252,0.315,0.086,0
TXN004659,TAXP04238,520.21,bill_payment,restaurants,card,Delhi,2,0.646,0.19,0.151,0
TXN004660,TAXP01788,102.21,merchant_payment,electronics,bank_transfer,Ahmedabad,1,0.224,0.073,0.061,0
TXN004661,TAXP00591,736.2,merchant_payment,restaurants,UPI,Delhi,5,0.097,0.099,0.235,0
TXN004662,TAXP02430,237.44,merchant_payment,groceries,UPI,Bengaluru,4,0.295,0.212,0.077,0
TXN004663,TAXP04388,703.47,merchant_payment,education,card,Ahmedabad,3,0.035,0.168,0.018,0
TXN004664,TAXP01422,145.79,bill_payment,online_services,UPI,Chennai,3,0.47,0.032,0.116,0
TXN004665,TAXP02680,50.0,merchant_payment,travel,wallet,Chennai,7,0.195,0.134,0.058,0
TXN004666,TAXP00774,679.74,transfer,utilities,card,Bengaluru,3,0.007,0.372,0.2,0
TXN004667,TAXP03735,4440.59,cash_withdrawal,electronics,UPI,Hyderabad,4,0.348,0.109,0.261,1
TXN004668,TAXP03045,988.79,deposit,education,bank_transfer,Bengaluru,5,0.166,0.615,0.198,0
TXN004669,TAXP03720,205.63,purchase,retail,card,Kolkata,3,0.183,0.306,0.062,0
TXN004670,TAXP01426,50.0,transfer,utilities,card,Chennai,4,0.129,0.077,0.122,0
TXN004671,TAXP03411,76.9,cash_withdrawal,electronics,card,Bengaluru,4,0.4,0.161,0.114,0
TXN004672,TAXP00839,1972.34,purchase,education,UPI,Ahmedabad,6,0.074,0.162,0.116,0
TXN004673,TAXP02076,134.36,transfer,utilities,bank_transfer,Kolkata,5,0.302,0.077,0.12,0
TXN004674,TAXP04226,1332.47,purchase,groceries,card,Mumbai,5,0.269,0.015,0.087,0
TXN004675,TAXP02544,63.97,merchant_payment,healthcare,UPI,Mumbai,5,0.106,0.194,0.053,0
TXN004676,TAXP04505,50.0,purchase,utilities,bank_transfer,Delhi,5,0.179,0.073,0.05,0
TXN004677,TAXP04097,460.77,deposit,financial_services,wallet,Kolkata,2,0.061,0.193,0.051,0
TXN004678,TAXP02625,50.0,merchant_payment,retail,bank_transfer,Chennai,4,0.086,0.043,0.0,0
TXN004679,TAXP01684,1056.47,transfer,groceries,card,Hyderabad,3,0.365,0.275,0.181,0
TXN004680,TAXP03752,59.66,transfer,electronics,bank_transfer,Hyderabad,2,0.245,0.301,0.306,1
TXN004681,TAXP03763,207.62,merchant_payment,online_services,cash,Ahmedabad,2,0.19,0.13,0.067,0
TXN004682,TAXP02581,184.24,transfer,restaurants,UPI,Pune,2,0.058,0.074,0.071,0
TXN004683,TAXP00675,264.87,purchase,online_services,card,Hyderabad,7,0.424,0.047,0.051,0
TXN004684,TAXP01579,90.32,cash_withdrawal,travel,bank_transfer,Hyderabad,2,0.197,0.122,0.125,0
TXN004685,TAXP02375,94.83,merchant_payment,electronics,card,Delhi,3,0.215,0.015,0.01,0
TXN004686,TAXP04724,1225.68,merchant_payment,groceries,UPI,Kolkata,5,0.213,0.125,0.08,0
TXN004687,TAXP03888,275.04,merchant_payment,groceries,UPI,Hyderabad,5,0.512,0.142,0.176,0
TXN004688,TAXP03908,109.96,purchase,utilities,UPI,Delhi,3,0.049,0.229,0.111,0
TXN004689,TAXP01007,1037.58,purchase,education,UPI,Pune,4,0.574,0.038,0.207,0
TXN004690,TAXP00759,458.63,transfer,online_services,wallet,Ahmedabad,4,0.022,0.145,0.08,0
TXN004691,TAXP04852,93.56,transfer,travel,UPI,Kolkata,8,0.182,0.309,0.274,1
TXN004692,TAXP01412,10025.87,purchase,groceries,UPI,Bengaluru,7,0.268,0.149,0.223,0
TXN004693,TAXP03300,62.71,bill_payment,retail,bank_transfer,Bengaluru,4,0.2,0.22,0.132,0
TXN004694,TAXP03773,1033.38,bill_payment,utilities,UPI,Hyderabad,3,0.079,0.114,0.04,0
TXN004695,TAXP02601,330.45,transfer,education,card,Mumbai,1,0.036,0.132,0.071,0
TXN004696,TAXP00356,100.95,cash_withdrawal,restaurants,bank_transfer,Pune,5,0.156,0.221,0.032,0
TXN004697,TAXP01660,548.76,bill_payment,travel,card,Hyderabad,3,0.215,0.041,0.146,0
TXN004698,TAXP04664,172.01,merchant_payment,restaurants,UPI,Bengaluru,4,0.128,0.093,0.088,0
TXN004699,TAXP02791,436.82,transfer,online_services,bank_transfer,Kolkata,4,0.204,0.562,0.135,0
TXN004700,TAXP04747,739.83,bill_payment,financial_services,UPI,Pune,7,0.157,0.127,0.016,0
TXN004701,TAXP00795,90.17,transfer,groceries,bank_transfer,Mumbai,4,0.353,0.163,0.225,0
TXN004702,TAXP00325,773.59,merchant_payment,education,UPI,Delhi,2,0.263,0.428,0.049,0
TXN004703,TAXP03318,260.54,transfer,utilities,UPI,Pune,5,0.086,0.251,0.109,0
TXN004704,TAXP01360,194.78,merchant_payment,restaurants,card,Delhi,2,0.272,0.248,0.085,0
TXN004705,TAXP02857,194.23,merchant_payment,retail,bank_transfer,Hyderabad,6,0.353,0.301,0.22,0
TXN004706,TAXP01796,193.95,cash_withdrawal,utilities,card,Ahmedabad,4,0.101,0.308,0.261,1
TXN004707,TAXP01227,4571.07,bill_payment,electronics,UPI,Pune,3,0.135,0.07,0.049,0
TXN004708,TAXP00416,312.26,cash_withdrawal,electronics,UPI,Bengaluru,5,0.369,0.313,0.159,0
TXN004709,TAXP02757,95.32,transfer,online_services,wallet,Ahmedabad,6,0.174,0.06,0.207,0
TXN004710,TAXP00261,493.19,merchant_payment,groceries,card,Kolkata,5,0.068,0.155,0.017,0
TXN004711,TAXP03611,4450.74,purchase,electronics,cash,Pune,6,0.109,0.025,0.029,0
TXN004712,TAXP01294,940.34,cash_withdrawal,travel,card,Delhi,3,0.387,0.365,0.201,0
TXN004713,TAXP00692,1006.64,cash_withdrawal,groceries,UPI,Chennai,4,0.258,0.083,0.075,0
TXN004714,TAXP04168,188.61,bill_payment,financial_services,UPI,Pune,8,0.01,0.028,0.153,0
TXN004715,TAXP04515,696.19,purchase,restaurants,cash,Ahmedabad,5,0.216,0.342,0.132,0
TXN004716,TAXP00617,78.09,cash_withdrawal,retail,card,Pune,1,0.121,0.301,0.004,0
TXN004717,TAXP04749,298.07,purchase,utilities,UPI,Hyderabad,4,0.423,0.145,0.0,0
TXN004718,TAXP02316,149.05,transfer,financial_services,card,Mumbai,2,0.507,0.241,0.261,1
TXN004719,TAXP00579,87.05,transfer,restaurants,UPI,Bengaluru,5,0.362,0.048,0.075,0
TXN004720,TAXP01815,182.24,transfer,education,UPI,Bengaluru,2,0.183,0.161,0.107,0
TXN004721,TAXP02740,1095.03,transfer,restaurants,bank_transfer,Delhi,3,0.346,0.306,0.172,0
TXN004722,TAXP01293,163.26,cash_withdrawal,utilities,UPI,Ahmedabad,3,0.095,0.157,0.02,0
TXN004723,TAXP03925,288.4,purchase,healthcare,bank_transfer,Mumbai,6,0.067,0.317,0.109,0
TXN004724,TAXP00566,994.79,deposit,utilities,UPI,Chennai,3,0.088,0.304,0.108,0
TXN004725,TAXP04439,63.44,purchase,retail,bank_transfer,Mumbai,5,0.115,0.292,0.059,0
TXN004726,TAXP02066,213.43,purchase,groceries,card,Hyderabad,2,0.058,0.161,0.075,0
TXN004727,TAXP04873,117.92,merchant_payment,groceries,cash,Kolkata,5,0.324,0.317,0.183,0
TXN004728,TAXP02218,70.81,transfer,online_services,card,Kolkata,3,0.118,0.349,0.22,0
TXN004729,TAXP00081,109.09,merchant_payment,travel,UPI,Mumbai,5,0.197,0.078,0.0,0
TXN004730,TAXP01926,50.0,purchase,utilities,cash,Mumbai,1,0.341,0.239,0.169,0
TXN004731,TAXP01946,50.0,bill_payment,retail,card,Delhi,3,0.01,0.139,0.0,0
TXN004732,TAXP01764,62.96,purchase,utilities,card,Ahmedabad,3,0.508,0.103,0.186,0
TXN004733,TAXP03770,623.49,merchant_payment,groceries,bank_transfer,Kolkata,4,0.106,0.124,0.0,0
TXN004734,TAXP02929,96.45,merchant_payment,financial_services,UPI,Chennai,8,0.384,0.041,0.297,1
TXN004735,TAXP04529,61.72,merchant_payment,groceries,card,Delhi,2,0.157,0.402,0.156,0
TXN004736,TAXP03142,152236.76,purchase,financial_services,bank_transfer,Delhi,6,0.118,0.37,0.186,0
TXN004737,TAXP02926,82.22,transfer,retail,UPI,Mumbai,4,0.366,0.2,0.176,0
TXN004738,TAXP01331,88.71,transfer,online_services,wallet,Hyderabad,3,0.022,0.054,0.034,0
TXN004739,TAXP03329,436.48,merchant_payment,electronics,card,Mumbai,4,0.283,0.121,0.114,0
TXN004740,TAXP03530,384.41,merchant_payment,financial_services,card,Pune,6,0.26,0.069,0.194,0
TXN004741,TAXP00222,199.77,merchant_payment,groceries,UPI,Mumbai,6,0.102,0.11,0.032,0
TXN004742,TAXP00253,417.77,purchase,retail,cash,Kolkata,4,0.279,0.285,0.064,0
TXN004743,TAXP01036,739.2,cash_withdrawal,healthcare,UPI,Bengaluru,4,0.28,0.181,0.177,0
TXN004744,TAXP02926,50.0,purchase,electronics,card,Chennai,3,0.237,0.299,0.12,0
TXN004745,TAXP03197,50.0,purchase,online_services,cash,Hyderabad,2,0.454,0.301,0.242,0
TXN004746,TAXP01756,430.53,transfer,retail,UPI,Pune,2,0.205,0.185,0.148,0
TXN004747,TAXP01204,479.11,transfer,online_services,UPI,Bengaluru,4,0.254,0.103,0.12,0
TXN004748,TAXP00808,134.81,purchase,healthcare,bank_transfer,Ahmedabad,4,0.133,0.237,0.135,0
TXN004749,TAXP01479,156.33,purchase,retail,wallet,Chennai,4,0.101,0.041,0.153,0
TXN004750,TAXP02243,50.0,merchant_payment,retail,UPI,Mumbai,2,0.042,0.109,0.054,0
TXN004751,TAXP03006,153.08,purchase,utilities,bank_transfer,Chennai,2,0.06,0.082,0.084,0
TXN004752,TAXP04378,57.42,merchant_payment,restaurants,bank_transfer,Ahmedabad,5,0.227,0.076,0.072,0
TXN004753,TAXP03190,155.76,purchase,healthcare,UPI,Bengaluru,5,0.028,0.277,0.094,0
TXN004754,TAXP02723,136.89,bill_payment,utilities,bank_transfer,Kolkata,5,0.616,0.06,0.112,0
TXN004755,TAXP01709,496.06,transfer,retail,bank_transfer,Mumbai,7,0.098,0.216,0.13,0
TXN004756,TAXP02146,444.3,transfer,financial_services,bank_transfer,Kolkata,4,0.119,0.194,0.217,0
TXN004757,TAXP03243,1299.28,deposit,retail,card,Mumbai,3,0.466,0.295,0.191,0
TXN004758,TAXP03203,70.15,transfer,electronics,card,Hyderabad,7,0.123,0.47,0.039,0
TXN004759,TAXP01041,53.71,transfer,travel,bank_transfer,Chennai,3,0.004,0.177,0.167,0
TXN004760,TAXP04054,531.81,merchant_payment,education,UPI,Kolkata,3,0.034,0.207,0.033,0
TXN004761,TAXP04166,124.86,transfer,electronics,bank_transfer,Bengaluru,5,0.191,0.291,0.259,1
TXN004762,TAXP04899,77.67,deposit,travel,card,Delhi,7,0.221,0.228,0.081,0
TXN004763,TAXP04484,61.21,transfer,utilities,card,Delhi,2,0.148,0.176,0.15,0
TXN004764,TAXP00493,50.0,transfer,groceries,UPI,Delhi,1,0.501,0.029,0.21,0
TXN004765,TAXP02163,1970.39,purchase,groceries,UPI,Hyderabad,1,0.388,0.109,0.13,0
TXN004766,TAXP00277,236.18,transfer,electronics,card,Kolkata,5,0.111,0.195,0.0,0
